full_date,date,weekday,time,mood,activities,note_title,note
2024-01-10,10 stycznia,środa,20:17,tak sobie,"zmęczenie | stres | smutek | desperacja | duma | spełnienie | dobry sen | ćwiczenie | pij wodę | spacer | witaminy | filmy i tv | restauracja | słodycze | sam | skup się | praca | zajęcia | nauka | projekt grupowy | wiatr | zimno | golenie | dbaj o zdrowie","",""
2024-01-09,9 stycznia,wtorek,12:58,dobrze,"szczęście | zadowolenie | zmęczenie | stres | średni sen | pij wodę | spacer | witaminy | filmy i tv | domowy | słodycze | sam | skup się | gotowanie | mycie naczyń | śmieci | zajęcia | nauka | projekt grupowy | pochmurno | wiatr | zimno","",""
2024-01-08,8 stycznia,poniedziałek,20:14,dobrze,"szczęście | podniecenie | zadowolenie | stres | zainteresowanie | dobry sen | pij wodę | spacer | witaminy | filmy i tv | domowy | wieczór z drugą połówką | skup się | zakupy | mycie naczyń | brak zajęć | wiatr | zimno | masaż | pielęgnacja skóry","",""
2024-01-07,7 stycznia,niedziela,23:59,źle,"złość | smutek","",""
2024-01-07,7 stycznia,niedziela,14:00,dobrze,"szczęście | relaks | zadowolenie | stres | zainteresowanie | dobry sen | zdrowe odżywianie się | pij wodę | spacer | witaminy | filmy i tv | domowy | wieczór z drugą połówką | skup się | sprzątanie | brak zajęć | wiatr | zimno | rozmawiaj","",""
2024-01-06,6 stycznia,sobota,18:04,tak sobie,"wdzięczność | relaks | niepokój | stres | smutek | ulga | obrzydzenie | dobry sen | pij wodę | witaminy | filmy i tv | domowy | słodycze | bakalie | wieczór z drugą połówką | skup się | gotowanie | nauka | brak zajęć | pochmurno | śnieg | zimno | pielęgnacja skóry | słuchaj","",""
2024-01-05,5 stycznia,piątek,21:23,dobrze,"szczęście | relaks | stres | spełnienie | obrzydzenie | dobry sen | ćwiczenie | zdrowe odżywianie się | witaminy | ból pleców | filmy i tv | sport | domowy | słodycze | przyjaciele | wieczór z drugą połówką | skup się | gotowanie | zajęcia | nauka | projekt grupowy | śnieg | zimno | słuchaj | rozmawiaj | dbaj o zdrowie","",""
2024-01-05,5 stycznia,piątek,14:18,dobrze,"szczęście | relaks | zadowolenie | niepewność | ulga | obrzydzenie | dobry sen | zdrowe odżywianie się | pij wodę | ból pleców | filmy i tv | czytanie | domowy | słodycze | bakalie | wieczór z drugą połówką | skup się | gotowanie | pranie | mycie naczyń | zajęcia | nauka | projekt grupowy | pochmurno | wiatr | zimno | pielęgnacja skóry | uprzejmość | dbaj o zdrowie","",""
2024-01-04,4 stycznia,czwartek,14:14,tak sobie,"zadowolenie | zmęczenie | nuda | niepokój | stres | obrzydzenie | wczesne pójście spać | średni sen | pij wodę | ból głowy | ból pleców | filmy i tv | sam | odpocznij | mycie naczyń | zajęcia | projekt grupowy | pochmurno | ciepło | pielęgnacja skóry | golenie | dbaj o zdrowie","",""
2024-01-03,3 stycznia,środa,17:47,źle,"zmęczenie | nuda | niepokój | słaby sen | ból głowy | ból pleców | gorączka | filmy i tv | sam | odpocznij | brak zajęć | pochmurno | deszcz | chłodno","",""
2024-01-02,2 stycznia,wtorek,18:45,okropnie,"zmęczenie | niepokój | desperacja | ból głowy | ból pleców | gorączka | relaks | sam | odpocznij","",""
2024-01-02,2 stycznia,wtorek,11:00,tak sobie,"relaks | niepokój | obrzydzenie | średni sen | pij wodę | filmy i tv | domowy | sam | skup się | praca | sprzątanie | gotowanie | mycie naczyń | brak zajęć | pochmurno | chłodno","",""
2024-01-01,1 stycznia,poniedziałek,20:01,wspaniale,"szczęście | podniecenie | zmęczenie | spełnienie | nostalgia | króki sen | pij wodę | spacer | witaminy | filmy i tv | pianino | domowy | słodycze | rodzina | wieczór z drugą połówką | skup się | sprzątanie | projekt grupowy | brak zajęć | pochmurno | chłodno | uprzejmość","",""
2023-12-31,31 grudnia,niedziela,14:38,dobrze,"szczęście | podniecenie | ulga | spełnienie | króki sen | ćwiczenie | filmy i tv | impreza | pianino | domowy | rodzina | skup się | sprzątanie | śmieci | projekt grupowy | brak zajęć | pochmurno | wiatr | strzyżenie | kondycja fizyczna | pedicure | pielęgnacja skóry | golenie | uśmiechaj się","",""
2023-12-30,30 grudnia,sobota,21:00,dobrze,"relaks | zadowolenie | niepokój | zainteresowanie | zazdrość | dobry sen | pij wodę | witaminy | filmy i tv | pianino | domowy | słodycze | sam | skup się | projekt grupowy | brak zajęć | słonecznie | ciepło | pielęgnacja skóry","",""
2023-12-29,29 grudnia,piątek,20:04,dobrze,"relaks | stres | ulga | spełnienie | króki sen | ćwiczenie | pij wodę | spacer | ból głowy | witaminy | filmy i tv | sport | domowy | bakalie | sam | skup się | praca | projekt grupowy | brak zajęć | słonecznie | ciepło | kondycja fizyczna","",""
2023-12-28,28 grudnia,czwartek,21:30,wspaniale,"szczęście | zainteresowanie | spełnienie | euforia | dobry sen | spacer | witaminy | filmy i tv | impreza | domowy | alkohol | rodzina | przyjaciele | skup się | projekt grupowy | brak zajęć | pielęgnacja skóry | golenie | uprzejmość","",""
2023-12-27,27 grudnia,środa,20:18,dobrze,"wdzięczność | ulga | obrzydzenie | pij wodę | spacer | ból głowy | filmy i tv | sam | skup się | nauka","",""
2023-12-27,27 grudnia,środa,13:00,źle,"niepokój | złość | stres | desperacja | dobry sen | ćwiczenie | witaminy | stomatolog | filmy i tv | domowy | sam | zrób listę | praca domowa | brak zajęć | słonecznie | chłodno | pielęgnacja skóry | medytacja","",""
2023-12-26,26 grudnia,wtorek,20:28,dobrze,"szczęście | wdzięczność | zmęczenie | nuda | dobry sen | spacer | witaminy | filmy i tv | pianino | domowy | słodycze | rodzina | odpocznij | praca domowa | brak zajęć | słonecznie | pedicure | pielęgnacja skóry | słuchaj | uśmiechaj się | więcej czasu z rodziną","",""
2023-12-25,25 grudnia,poniedziałek,19:39,dobrze,"wdzięczność | zmęczenie | nuda | spełnienie | dobry sen | spacer | witaminy | czytanie | domowy | alkohol | słodycze | rodzina | odpocznij | brak zajęć | słonecznie | słuchaj | podaruj coś | więcej czasu z rodziną","",""
